ID,NAME,CREATED,CREATED (MS),LAST IMPORT,UPDATED,UPDATED (MS),TAGS
52ab5e1facc0db0f7a00007d,dev test,Fri Dec 13 2013 14:21:03 GMT-0500 (Eastern Standard Time),1386962463531,Wed Jan 08 2014 13:02:20 GMT-0500 (Eastern Standard Time),Mon Mar 28 2022 08:27:05 GMT-0400 (Eastern Daylight Time),1648470425646,test
551aef5752414937e27d0100,Stanford Health Care Sandbox,Tue Mar 31 2015 15:02:47 GMT-0400 (Eastern Daylight Time),1427828567329,,Mon Mar 28 2022 08:27:06 GMT-0400 (Eastern Daylight Time),1648470426129,"hl7,implementation,orchid,sandbox,sftp,sso,test"
55c3b5205241490f45410100,Account Strategy,Thu Aug 06 2015 15:27:28 GMT-0400 (Eastern Daylight Time),1438889248933,Mon Oct 26 2015 11:12:58 GMT-0400 (Eastern Daylight Time),Mon Mar 28 2022 08:27:06 GMT-0400 (Eastern Daylight Time),1648470426594,test
52689ac6677aff2d2a00000a,Jacobi,Wed Oct 23 2013 23:57:58 GMT-0400 (Eastern Daylight Time),1382587078907,,Mon Mar 28 2022 08:27:07 GMT-0400 (Eastern Daylight Time),1648470427054,cancelled
5203c292acc0db4e1c0002c6,The Johns Hopkins Hospital,Thu Aug 08 2013 12:08:50 GMT-0400 (Eastern Daylight Time),1375978130118,Thu Aug 08 2013 14:25:22 GMT-0400 (Eastern Daylight Time),Mon Mar 28 2022 08:27:07 GMT-0400 (Eastern Daylight Time),1648470427535,"kiosk,test"
544fa0f25241496fe6130000,Contemporary Clinic,Tue Oct 28 2014 09:58:10 GMT-0400 (Eastern Daylight Time),1414504690660,,Mon Mar 28 2022 08:27:08 GMT-0400 (Eastern Daylight Time),1648470428016,cancelled
560983d461706f60f7b60f00,Edgewood Place,Mon Sep 28 2015 14:15:48 GMT-0400 (Eastern Daylight Time),1443464148054,Fri Apr 27 2018 08:59:08 GMT-0400 (Eastern Daylight Time),Mon Mar 28 2022 08:27:08 GMT-0400 (Eastern Daylight Time),1648470428481,"cancelled,echo,orchid,snf,voice"
5408b1e261706f49d4020000,CipherHealth Onboarding,Thu Sep 04 2014 14:39:30 GMT-0400 (Eastern Daylight Time),1409855970435,,Mon Mar 28 2022 08:27:09 GMT-0400 (Eastern Daylight Time),1648470429517,test
55d598155241493ec1000000,Pentaho Admins,Thu Aug 20 2015 05:04:33 GMT-0400 (Eastern Daylight Time),1440061473899,,Mon Mar 28 2022 08:27:10 GMT-0400 (Eastern Daylight Time),1648470430229,test
52eea00d524149252c710000,University of Miami Health System,Sun Feb 02 2014 14:44:13 GMT-0500 (Eastern Standard Time),1391370253986,Sun Jun 24 2018 18:06:27 GMT-0400 (Eastern Daylight Time),Mon Mar 28 2022 08:27:10 GMT-0400 (Eastern Daylight Time),1648470430717,"cancelled,hl7,orchid,voice"
